,Date,VTSMX,VTSMX Div,VUSTX,VUSTX Div,VEURX,VEURX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Enter 4,Shares 4,Capital
0,1995-09-29,14.57,0.0,10.34,0.055,13.95,0.0,11.09,0.0,10.93,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,10000.0
1,1995-10-02,14.49,0.0,10.36,0.0,13.95,0.0,10.8,0.0,10.79,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9925.734542976761
2,1995-10-03,14.47,0.0,10.39,0.0,13.89,0.0,10.9,0.0,10.74,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9941.346362106222
3,1995-10-04,14.41,0.0,10.43,0.0,13.93,0.0,10.96,0.0,10.79,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9961.416572626069
4,1995-10-05,14.45,0.0,10.44,0.0,13.94,0.0,11.04,0.0,10.86,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9990.524165378249
5,1995-10-06,14.46,0.0,10.45,0.0,13.85,0.0,11.08,0.0,10.9,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9987.545915138558
6,1995-10-09,14.32,0.0,10.46,0.0,13.88,0.0,11.0,0.0,10.83,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9953.283826154326
7,1995-10-10,14.28,0.0,10.45,0.0,13.68,0.0,10.95,0.0,10.72,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9896.888903604562
8,1995-10-11,14.37,0.0,10.45,0.0,13.7,0.0,10.75,0.0,10.73,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9870.830160695852
9,1995-10-12,14.47,0.0,10.49,0.0,13.83,0.0,10.8,0.0,10.73,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,225.42831379621282,VUSTX,241.77949709864603,9932.228792264423
10,1995-10-13,14.52,0.0,10.61,0.0,13.94,0.0,10.79,0.0,10.74,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VUSTX,241.77949709864603,9987.280582904736
11,1995-10-16,14.49,0.0,10.58,0.0,13.92,0.0,10.86,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VUSTX,241.77949709864603,9964.417823099793
12,1995-10-17,14.58,0.0,10.6,0.0,13.9,0.0,10.84,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VUSTX,241.77949709864603,9985.69692878739
13,1995-10-18,14.61,0.0,10.58,0.0,13.91,0.0,10.77,0.0,10.78,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VUSTX,241.77949709864603,9983.215962350918
14,1995-10-19,14.66,0.0,10.6,0.0,13.88,0.0,10.83,0.0,10.8,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VUSTX,229.25273382291576,VUSTX,241.77949709864603,9995.839535361021
15,1995-10-20,14.58,0.0,10.54,0.0,13.89,0.0,10.96,0.0,10.82,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VUSTX,241.77949709864603,9955.642880236755
16,1995-10-23,14.52,0.0,10.52,0.0,13.75,0.0,10.99,0.0,10.76,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VUSTX,241.77949709864603,9922.036582626457
17,1995-10-24,14.54,0.0,10.59,0.0,13.79,0.0,10.87,0.0,10.68,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VUSTX,241.77949709864603,9923.105215037112
18,1995-10-25,14.42,0.0,10.59,0.0,13.84,0.0,10.75,0.0,10.57,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VUSTX,241.77949709864603,9885.019434408661
19,1995-10-26,14.28,0.0,10.53,0.0,13.72,0.0,10.6,0.0,10.41,0.0,VTSMX,171.58544955387782,VEURX,179.2114695340502,VPACX,220.4675013224025,VUSTX,241.77949709864603,9791.915200102754
20,1995-10-27,14.34,0.0,10.55,0.0,13.64,0.0,10.42,0.0,10.43,0.0,VUSTX,233.22609920403866,VUSTX,231.70089520800423,VUSTX,217.7508401686667,VUSTX,241.77949709864603,9753.024849217203
21,1995-10-30,14.44,0.0,10.56,0.0,13.78,0.0,10.5,0.0,10.46,0.0,VUSTX,233.22609920403866,VUSTX,231.70089520800423,VUSTX,217.7508401686667,VUSTX,241.77949709864603,9762.269422533995
22,1995-10-31,14.4,0.0,10.59,0.057,13.87,0.0,10.55,0.0,10.46,0.0,VUSTX,234.4814238173182,VUSTX,232.94801050799063,VUSTX,218.9228701865717,VUSTX,243.080859830905,9842.697210390097
23,1995-11-01,14.47,0.0,10.63,0.0,13.83,0.0,10.44,0.0,10.36,0.0,VUSTX,234.4814238173182,VUSTX,232.94801050799063,VUSTX,218.9228701865717,VUSTX,243.080859830905,9879.87453696381
