,Date,VTSMX,VTSMX Div,VEURX,VEURX Div,VUSTX,VUSTX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Capital
0,1995-09-29,14.57,0.0,13.95,0.0,10.34,0.055,11.09,0.0,10.93,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10000.0
1,1995-10-02,14.49,0.0,13.95,0.0,10.36,0.0,10.8,0.0,10.79,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9988.14500530355
2,1995-10-03,14.47,0.0,13.89,0.0,10.39,0.0,10.9,0.0,10.74,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9978.90365563667
3,1995-10-04,14.41,0.0,13.93,0.0,10.43,0.0,10.96,0.0,10.79,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9987.629671226103
4,1995-10-05,14.45,0.0,13.94,0.0,10.44,0.0,11.04,0.0,10.86,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10002.394108090746
5,1995-10-06,14.46,0.0,13.85,0.0,10.45,0.0,11.08,0.0,10.9,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9986.400264368694
6,1995-10-09,14.32,0.0,13.88,0.0,10.46,0.0,11.0,0.0,10.83,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9964.763165861314
7,1995-10-10,14.28,0.0,13.68,0.0,10.45,0.0,10.95,0.0,10.72,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9904.598490048043
8,1995-10-11,14.37,0.0,13.7,0.0,10.45,0.0,10.75,0.0,10.73,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9929.967716515417
9,1995-10-12,14.47,0.0,13.83,0.0,10.49,0.0,10.8,0.0,10.73,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9996.804004353764
10,1995-10-13,14.52,0.0,13.94,0.0,10.61,0.0,10.79,0.0,10.74,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10073.212102724801
11,1995-10-16,14.49,0.0,13.92,0.0,10.58,0.0,10.86,0.0,10.8,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10051.898532337791
12,1995-10-17,14.58,0.0,13.9,0.0,10.6,0.0,10.84,0.0,10.8,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10074.157267019313
13,1995-10-18,14.61,0.0,13.91,0.0,10.58,0.0,10.77,0.0,10.78,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10076.962718005958
14,1995-10-19,14.66,0.0,13.88,0.0,10.6,0.0,10.83,0.0,10.8,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10087.680742450819
15,1995-10-20,14.58,0.0,13.89,0.0,10.54,0.0,10.96,0.0,10.82,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10052.425420990967
16,1995-10-23,14.52,0.0,13.75,0.0,10.52,0.0,10.99,0.0,10.76,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9998.798324124336
17,1995-10-24,14.54,0.0,13.79,0.0,10.59,0.0,10.87,0.0,10.68,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10035.49796755013
18,1995-10-25,14.42,0.0,13.84,0.0,10.59,0.0,10.75,0.0,10.57,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,10019.99172692378
19,1995-10-26,14.28,0.0,13.72,0.0,10.53,0.0,10.6,0.0,10.41,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VUSTX,322.3726627981947,9939.946248113716
20,1995-10-27,14.34,0.0,13.64,0.0,10.55,0.0,10.42,0.0,10.43,0.0,VTSMX,228.78059940517045,VUSTX,308.93452694400565,VUSTX,322.3726627981947,9941.004647250358
21,1995-10-30,14.44,0.0,13.78,0.0,10.56,0.0,10.5,0.0,10.46,0.0,VTSMX,228.78059940517045,VUSTX,308.93452694400565,VUSTX,322.3726627981947,9970.195779088297
22,1995-10-31,14.4,0.0,13.87,0.0,10.59,0.057,10.55,0.0,10.46,0.0,VTSMX,228.78059940517045,VUSTX,310.59734734398756,VUSTX,324.10781310787337,10015.968280619662
23,1995-11-01,14.47,0.0,13.83,0.0,10.63,0.0,10.44,0.0,10.36,0.0,VTSMX,228.78059940517045,VUSTX,310.59734734398756,VUSTX,324.10781310787337,10057.3711289961
24,1995-11-02,14.62,0.0,13.86,0.0,10.67,0.0,10.56,0.0,10.27,0.0,VTSMX,228.78059940517045,VUSTX,310.59734734398756,VUSTX,324.10781310787337,10117.076425324947
25,1995-11-03,14.66,0.0,13.88,0.0,10.65,0.0,10.57,0.0,10.3,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10113.53354609212
26,1995-11-06,14.63,0.0,13.85,0.0,10.64,0.0,10.61,0.0,10.26,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10096.279492884043
27,1995-11-07,14.56,0.0,13.9,0.0,10.61,0.0,10.59,0.0,10.23,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10082.457545023846
28,1995-11-08,14.67,0.0,13.94,0.0,10.68,0.0,10.59,0.0,10.15,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10139.84370066909
29,1995-11-09,14.72,0.0,13.93,0.0,10.63,0.0,10.64,0.0,10.13,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10132.694154285673
30,1995-11-10,14.71,0.0,13.87,0.0,10.58,0.0,10.69,0.0,10.02,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10099.901843446545
31,1995-11-13,14.69,0.0,13.8,0.0,10.64,0.0,10.56,0.0,9.83,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10098.09040035695
32,1995-11-14,14.6,0.0,13.87,0.0,10.62,0.0,10.58,0.0,9.81,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10087.70029003629
33,1995-11-15,14.68,0.0,13.97,0.0,10.59,0.0,10.56,0.0,9.82,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10120.111360578274
34,1995-11-16,14.77,0.0,14.05,0.0,10.64,0.0,10.55,0.0,9.91,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10175.972490766379
35,1995-11-17,14.83,0.0,14.05,0.0,10.66,0.0,10.63,0.0,9.95,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10196.181482992846
36,1995-11-20,14.75,0.0,14.08,0.0,10.63,0.0,10.83,0.0,9.92,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10175.305357742038
37,1995-11-21,14.78,0.0,14.09,0.0,10.61,0.0,10.85,0.0,10.08,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10178.069805160316
38,1995-11-22,14.76,0.0,14.14,0.0,10.61,0.0,10.83,0.0,10.21,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10185.410121663615
39,1995-11-24,14.8,0.0,14.14,0.0,10.64,0.0,10.78,0.0,10.18,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10204.28458003306
40,1995-11-27,14.84,0.0,14.12,0.0,10.68,0.0,10.87,0.0,10.18,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10221.63374513702
41,1995-11-28,14.95,0.0,14.08,0.0,10.67,0.0,11.01,0.0,10.25,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10234.025790147387
42,1995-11-29,15.01,0.0,14.03,0.0,10.69,0.0,10.93,0.0,10.39,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,324.10781310787337,10242.31885388245
43,1995-11-30,15.0,0.0,13.95,0.0,10.78,0.055,11.07,0.0,10.5,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VUSTX,325.76142439924007,10267.961195202795
44,1995-12-01,15.02,0.0,14.0,0.0,10.82,0.0,11.19,0.0,10.6,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10297.483192658272
45,1995-12-04,15.18,0.0,13.97,0.0,10.93,0.0,11.28,0.0,10.73,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10355.287635586219
46,1995-12-05,15.26,0.0,14.06,0.0,10.9,0.0,11.24,0.0,10.71,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10382.439152992953
47,1995-12-06,15.29,0.0,14.06,0.0,10.9,0.0,11.29,0.0,10.74,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10405.052073262865
48,1995-12-07,15.19,0.0,14.03,0.0,10.86,0.0,11.48,0.0,10.7,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10434.872564920977
49,1995-12-08,15.22,0.0,13.95,0.0,10.87,0.0,11.4,0.0,10.65,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10397.47129365648
50,1995-12-11,15.26,0.0,14.03,0.0,10.89,0.0,11.39,0.0,10.62,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10422.538102761378
51,1995-12-12,15.23,0.0,14.04,0.0,10.88,0.0,11.37,0.0,10.67,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10411.758069562402
52,1995-12-13,15.29,0.0,13.99,0.0,10.86,0.0,11.38,0.0,10.63,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10416.718877492862
53,1995-12-14,15.17,0.0,14.13,0.0,10.85,0.0,11.47,0.0,10.62,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10450.978909458128
54,1995-12-15,15.14,0.0,14.09,0.0,10.84,0.0,11.38,0.0,10.65,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10406.23364456489
55,1995-12-18,14.88,0.0,14.01,0.0,10.72,0.0,11.41,0.0,10.59,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10337.134904505954
56,1995-12-19,15.03,0.0,13.88,0.0,10.81,0.0,11.31,0.0,10.56,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10308.971575763571
57,1995-12-20,14.95,0.0,13.97,0.0,10.81,0.0,11.49,0.0,10.8,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10368.816007331605
58,1995-12-21,15.06,0.0,14.04,0.0,10.81,0.0,11.61,0.0,10.93,0.0,VTSMX,228.78059940517045,VEURX,238.31856982805962,VPACX,314.9900457551187,10448.462978644751
59,1995-12-22,14.91,0.1,14.18,0.0,10.87,0.0,11.6,0.0,10.97,0.0,VTSMX,230.31500986395764,VEURX,238.31856982805962,VPACX,314.9900457551187,10467.23864799287
60,1995-12-26,14.96,0.0,14.26,0.0,10.89,0.0,11.63,0.0,10.94,0.0,VTSMX,230.31500986395764,VEURX,238.31856982805962,VPACX,314.9900457551187,10507.269585444967
61,1995-12-27,14.99,0.0,14.01,0.36,10.93,0.0,11.54,0.11,10.72,0.18,VTSMX,230.31500986395764,VEURX,244.44238746818107,VPACX,317.9925505240149,10546.693879337074
62,1995-12-28,14.98,0.0,14.02,0.0,10.96,0.0,11.46,0.0,10.71,0.0,VTSMX,230.31500986395764,VEURX,244.44238746818107,VPACX,317.9925505240149,10521.395749071195
63,1995-12-29,15.04,0.0,14.02,0.0,10.79,0.281,11.5,0.0,10.74,0.0,VPACX,305.7372275850433,VUSTX,325.85524719443913,VEURX,250.78303261255334,10547.934351683993
64,1996-01-02,15.14,0.0,14.12,0.0,10.77,0.0,11.44,0.0,10.85,0.0,VPACX,305.7372275850433,VUSTX,325.85524719443913,VEURX,250.78303261255334,10548.151316346257
65,1996-01-03,15.14,0.0,14.26,0.0,10.79,0.0,11.45,0.0,11.2,0.0,VPACX,305.7372275850433,VUSTX,325.85524719443913,VEURX,250.78303261255334,10592.835418131755
66,1996-01-04,15.02,0.0,14.16,0.0,10.71,0.0,11.68,0.0,11.35,0.0,VPACX,305.7372275850433,VUSTX,325.85524719443913,VEURX,250.78303261255334,10612.008257439504
67,1996-01-05,14.99,0.0,14.22,0.0,10.68,0.0,11.78,0.0,11.35,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10647.853304738928
68,1996-01-08,15.03,0.0,14.22,0.0,10.69,0.0,11.67,0.0,11.37,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10620.354604488779
69,1996-01-09,14.81,0.0,14.19,0.0,10.66,0.0,11.64,0.0,11.29,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10579.129417546028
70,1996-01-10,14.56,0.0,14.09,0.0,10.55,0.0,11.61,0.0,11.22,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10523.415615712503
71,1996-01-11,14.68,0.0,14.03,0.0,10.55,0.0,11.55,0.0,11.3,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10514.55397923747
72,1996-01-12,14.66,0.0,14.11,0.0,10.57,0.0,11.47,0.0,11.41,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10543.8858149528
73,1996-01-15,14.59,0.0,14.03,0.0,10.57,0.0,11.47,0.0,11.49,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10548.35275148062
74,1996-01-16,14.74,0.0,14.09,0.0,10.65,0.0,11.51,0.0,11.48,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10572.563025148671
75,1996-01-17,14.73,0.0,14.0,0.0,10.73,0.0,11.53,0.0,11.47,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10553.041099373138
76,1996-01-18,14.78,0.0,14.04,0.0,10.76,0.0,11.42,0.0,11.39,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10504.911746506465
77,1996-01-19,14.88,0.0,14.02,0.0,10.78,0.0,11.44,0.0,11.56,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10558.13618607166
78,1996-01-22,14.93,0.0,14.02,0.0,10.69,0.0,11.32,0.0,11.7,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10564.374482250894
79,1996-01-23,14.93,0.0,13.93,0.0,10.64,0.0,11.28,0.0,11.77,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10551.037901957083
80,1996-01-24,15.09,0.0,14.0,0.0,10.71,0.0,11.25,0.0,11.7,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10537.95721566769
81,1996-01-25,15.03,0.0,14.02,0.0,10.61,0.0,11.35,0.0,11.74,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,250.78303261255334,10585.811388646856
82,1996-01-26,15.12,0.0,13.84,0.0,10.69,0.0,11.41,0.0,11.71,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VUSTX,324.6807456836051,10549.816084255392
83,1996-01-29,15.18,0.0,13.89,0.0,10.64,0.0,11.39,0.0,11.68,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VUSTX,324.6807456836051,10518.268710243203
84,1996-01-30,15.32,0.0,13.93,0.0,10.7,0.0,11.37,0.0,11.78,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VUSTX,324.6807456836051,10562.296784353544
85,1996-01-31,15.44,0.0,14.1,0.0,10.73,0.054000000000000006,11.54,0.0,11.85,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VUSTX,326.314740116682,10663.008677425143
86,1996-02-01,15.51,0.0,14.1,0.0,10.67,0.0,11.58,0.0,11.94,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VUSTX,326.314740116682,10683.255058650471
87,1996-02-02,15.48,0.0,14.16,0.0,10.6,0.0,11.59,0.0,12.12,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,244.27515856192295,10718.661952176002
88,1996-02-05,15.59,0.0,14.17,0.0,10.59,0.0,11.62,0.0,12.13,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,244.27515856192295,10733.343017981275
89,1996-02-06,15.7,0.0,14.2,0.0,10.61,0.0,11.6,0.0,12.1,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,244.27515856192295,10725.357936010123
90,1996-02-07,15.76,0.0,14.16,0.0,10.6,0.0,11.66,0.0,12.04,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,244.27515856192295,10715.533978970134
91,1996-02-08,15.89,0.0,14.1,0.0,10.59,0.0,11.64,0.0,11.99,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,244.27515856192295,10679.431737944204
92,1996-02-09,15.9,0.0,14.09,0.0,10.6,0.0,11.56,0.0,11.88,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,244.27515856192295,10618.801836838651
93,1996-02-12,15.99,0.0,14.14,0.0,10.66,0.0,11.59,0.0,11.86,0.0,VPACX,305.7372275850433,VEIEX,306.619739210274,VEURX,244.27515856192295,10634.055316810092
