,Date,VTSMX,VTSMX Div,VUSTX,VUSTX Div,VEURX,VEURX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,Enter 1,Shares 1,Enter 2,Shares 2,Capital
0,1995-09-29,14.57,0.0,10.34,0.055,13.95,0.0,11.09,0.0,10.93,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,10000.0
1,1995-10-02,14.49,0.0,10.36,0.0,13.95,0.0,10.8,0.0,10.79,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9972.54632807138
2,1995-10-03,14.47,0.0,10.39,0.0,13.89,0.0,10.9,0.0,10.74,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9944.17753374514
3,1995-10-04,14.41,0.0,10.43,0.0,13.93,0.0,10.96,0.0,10.79,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9937.924197361397
4,1995-10-05,14.45,0.0,10.44,0.0,13.94,0.0,11.04,0.0,10.86,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9955.23526271639
5,1995-10-06,14.46,0.0,10.45,0.0,13.85,0.0,11.08,0.0,10.9,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9926.408907191337
6,1995-10-09,14.32,0.0,10.46,0.0,13.88,0.0,11.0,0.0,10.83,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9889.117669488294
7,1995-10-10,14.28,0.0,10.45,0.0,13.68,0.0,10.95,0.0,10.72,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9803.706245710364
8,1995-10-11,14.37,0.0,10.45,0.0,13.7,0.0,10.75,0.0,10.73,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9841.760085411424
9,1995-10-12,14.47,0.0,10.49,0.0,13.83,0.0,10.8,0.0,10.73,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9922.672157401053
10,1995-10-13,14.52,0.0,10.61,0.0,13.94,0.0,10.79,0.0,10.74,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9979.257225653932
11,1995-10-16,14.49,0.0,10.58,0.0,13.92,0.0,10.86,0.0,10.8,0.0,VTSMX,343.17089910775564,VEURX,358.4229390681004,9961.793639899337
