,Date,VTSMX,VTSMX Div,VUSTX,VUSTX Div,VEURX,VEURX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Capital
0,1995-09-29,14.57,0.0,10.34,0.055,13.95,0.0,11.09,0.0,10.93,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VPACX,300.5710850616171,10000.0
1,1995-10-02,14.49,0.0,10.36,0.0,13.95,0.0,10.8,0.0,10.79,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VPACX,300.5710850616171,9894.531937379717
2,1995-10-03,14.47,0.0,10.39,0.0,13.89,0.0,10.9,0.0,10.74,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VPACX,300.5710850616171,9905.676516335054
3,1995-10-04,14.41,0.0,10.43,0.0,13.93,0.0,10.96,0.0,10.79,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VPACX,300.5710850616171,9919.541890516257
4,1995-10-05,14.45,0.0,10.44,0.0,13.94,0.0,11.04,0.0,10.86,0.0,VTSMX,228.78059940517045,VEURX,238.94862604540026,VPACX,300.5710850616171,9955.128287557845
5,1995-10-06,14.46,0.0,10.45,0.0,13.85,0.0,11.08,0.0,10.9,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VPACX,300.5710850616171,9947.933560610276
6,1995-10-09,14.32,0.0,10.46,0.0,13.88,0.0,11.0,0.0,10.83,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VPACX,300.5710850616171,9934.222043081827
7,1995-10-10,14.28,0.0,10.45,0.0,13.68,0.0,10.95,0.0,10.72,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VPACX,300.5710850616171,9868.238053124547
8,1995-10-11,14.37,0.0,10.45,0.0,13.7,0.0,10.75,0.0,10.73,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VPACX,300.5710850616171,9812.902808633133
9,1995-10-12,14.47,0.0,10.49,0.0,13.83,0.0,10.8,0.0,10.73,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VPACX,300.5710850616171,9871.65752625259
10,1995-10-13,14.52,0.0,10.61,0.0,13.94,0.0,10.79,0.0,10.74,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VUSTX,305.6703117638877,9932.924690208389
11,1995-10-16,14.49,0.0,10.58,0.0,13.92,0.0,10.86,0.0,10.8,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VUSTX,305.6703117638877,9909.478476849208
12,1995-10-17,14.58,0.0,10.6,0.0,13.9,0.0,10.84,0.0,10.8,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VUSTX,305.6703117638877,9917.144331553816
13,1995-10-18,14.61,0.0,10.58,0.0,13.91,0.0,10.77,0.0,10.78,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VUSTX,305.6703117638877,9907.088990588754
14,1995-10-19,14.66,0.0,10.6,0.0,13.88,0.0,10.83,0.0,10.8,0.0,VUSTX,316.57104951184357,VEURX,238.94862604540026,VUSTX,305.6703117638877,9912.365359032907
15,1995-10-20,14.58,0.0,10.54,0.0,13.89,0.0,10.96,0.0,10.82,0.0,VTSMX,228.8517737897689,VEURX,238.94862604540026,VPACX,293.95666842987004,9877.420363616817
16,1995-10-23,14.52,0.0,10.52,0.0,13.75,0.0,10.99,0.0,10.76,0.0,VTSMX,228.8517737897689,VEURX,238.94862604540026,VPACX,293.95666842987004,9839.05514959597
17,1995-10-24,14.54,0.0,10.59,0.0,13.79,0.0,10.87,0.0,10.68,0.0,VTSMX,228.8517737897689,VEURX,238.94862604540026,VPACX,293.95666842987004,9817.915329901996
18,1995-10-25,14.42,0.0,10.59,0.0,13.84,0.0,10.75,0.0,10.57,0.0,VTSMX,228.8517737897689,VEURX,238.94862604540026,VPACX,293.95666842987004,9767.12574813791
19,1995-10-26,14.28,0.0,10.53,0.0,13.72,0.0,10.6,0.0,10.41,0.0,VTSMX,228.8517737897689,VEURX,238.94862604540026,VPACX,293.95666842987004,9662.319164417415
20,1995-10-27,14.34,0.0,10.55,0.0,13.64,0.0,10.42,0.0,10.43,0.0,VUSTX,311.06487546400814,VUSTX,308.93452694400565,VUSTX,290.3344535582223,9604.022180443792
21,1995-10-30,14.44,0.0,10.56,0.0,13.78,0.0,10.5,0.0,10.46,0.0,VUSTX,311.06487546400814,VUSTX,308.93452694400565,VUSTX,290.3344535582223,9613.125519003454
22,1995-10-31,14.4,0.0,10.59,0.057,13.87,0.0,10.55,0.0,10.46,0.0,VUSTX,312.7391623291119,VUSTX,310.59734734398756,VUSTX,291.8971602487623,9692.324564472516
